"","Kingdom","Phylum","Class","Order","Family","Genus","Species","SourceID","Seq","indtype"
"2039","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq11535",NA
"2040","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq11659",NA
"2043","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq11679",NA
"2044","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq11681",NA
"2045","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq11688",NA
"2046","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq11692",NA
"2047","Metazoa","Cnidaria",NA,NA,NA,NA,NA,"80_Match","sq11749",NA
"2049","Metazoa","Chordata",NA,NA,NA,NA,NA,"80_Match","sq11758",NA
"2050","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq11769",NA
"2054","Metazoa","Platyhelminthes",NA,NA,NA,NA,NA,"80_Match","sq11847",NA
"2055","Metazoa","Nemertea",NA,NA,NA,NA,NA,"80_Match","sq11854",NA
"2056","Metazoa","Mollusca",NA,NA,NA,NA,NA,"80_Match","sq11857",NA
"2057","Metazoa","Nemertea",NA,NA,NA,NA,NA,"80_Match","sq11871","low"
"2058","Metazoa","Bacillariophyta",NA,NA,NA,NA,NA,"80_Match","sq11878",NA
"2059","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq11886",NA
"2060","Metazoa","Chordata",NA,NA,NA,NA,NA,"80_Match","sq11784",NA
"2061","Metazoa","Cnidaria",NA,NA,NA,NA,NA,"80_Match","sq11896",NA
"2062","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq11900",NA
"2063","Metazoa","Mollusca",NA,NA,NA,NA,NA,"80_Match","sq11913",NA
"2064","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq11918",NA
"2065","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq11917",NA
"2068","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq11933",NA
"2069","Metazoa","Mollusca",NA,NA,NA,NA,NA,"80_Match","sq11936",NA
"2072","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq11872",NA
"2073","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq11971",NA
"2074","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq11867",NA
"2078","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq11889",NA
"2080","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq12015",NA
"2081","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq12033",NA
"2082","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq12053",NA
"2084","Metazoa","Cnidaria",NA,NA,NA,NA,NA,"80_Match","sq12076",NA
"2085","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq12089",NA
"2086","Metazoa","Arthropoda",NA,NA,NA,NA,NA,"80_Match","sq12110",NA
"2087","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq11954",NA
"2089","Metazoa","Nemertea",NA,NA,NA,NA,NA,"80_Match","sq12128",NA
"2091","Metazoa","Annelida",NA,NA,NA,NA,NA,"80_Match","sq12134",NA
